abilities,detailPageURL,weight,weakness,height,collectibles_slug,featured,name,ThumbnailAltText,ThumbnailImage,slug,type
Poison Point,/us/pokedex/nidorina,44.1,Ground,31,nidorina,true,Nidorina,Nidorina,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/030.png,nidorina,poison
Poison Point,/us/pokedex/nidoqueen,132.3,Ground,51,nidoqueen,true,Nidoqueen,Nidoqueen,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/031.png,nidoqueen,poison
Poison Point,/us/pokedex/nidoran-male,19.8,Ground,20,nidoran-male,true,Nidoran♂,Nidoran♂,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/032.png,nidoran-male,poison
Poison Point,/us/pokedex/nidorino,43,Ground,35,nidorino,true,Nidorino,Nidorino,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/033.png,nidorino,poison
Poison Point,/us/pokedex/nidoking,136.7,Ground,55,nidoking,true,Nidoking,Nidoking,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/034.png,nidoking,poison
Cute Charm,/us/pokedex/clefairy,16.5,Steel,24,clefairy,true,Clefairy,Clefairy,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/035.png,clefairy,fairy
Cute Charm,/us/pokedex/clefable,88.2,Steel,51,clefable,true,Clefable,Clefable,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/036.png,clefable,fairy
Flash Fire,/us/pokedex/vulpix,21.8,Ground,24,vulpix,true,Vulpix,Vulpix,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/037.png,vulpix,fire
Flash Fire,/us/pokedex/ninetales,43.9,Ground,43,ninetales,true,Ninetales,Ninetales,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/038.png,ninetales,fire
Competitive,/us/pokedex/jigglypuff,12.1,Steel,20,jigglypuff,true,Jigglypuff,Jigglypuff,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/039.png,jigglypuff,normal
Competitive,/us/pokedex/wigglytuff,26.5,Steel,39,wigglytuff,true,Wigglytuff,Wigglytuff,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/040.png,wigglytuff,normal
Inner Focus,/us/pokedex/zubat,16.5,Electric,31,zubat,true,Zubat,Zubat,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/041.png,zubat,poison
Inner Focus,/us/pokedex/golbat,121.3,Electric,63,golbat,true,Golbat,Golbat,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/042.png,golbat,poison
Chlorophyll,/us/pokedex/oddish,11.9,Fire,20,oddish,true,Oddish,Oddish,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/043.png,oddish,grass
Chlorophyll,/us/pokedex/gloom,19,Fire,31,gloom,true,Gloom,Gloom,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/044.png,gloom,grass
Chlorophyll,/us/pokedex/vileplume,41,Fire,47,vileplume,true,Vileplume,Vileplume,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/045.png,vileplume,grass
Dry Skin,/us/pokedex/paras,11.9,Fire,12,paras,true,Paras,Paras,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/046.png,paras,bug
Dry Skin,/us/pokedex/parasect,65,Fire,39,parasect,true,Parasect,Parasect,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/047.png,parasect,bug
Compound Eyes,/us/pokedex/venonat,66.1,Fire,39,venonat,true,Venonat,Venonat,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/048.png,venonat,bug
Shield Dust,/us/pokedex/venomoth,27.6,Fire,59,venomoth,true,Venomoth,Venomoth,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/049.png,venomoth,bug
Arena Trap,/us/pokedex/diglett,1.8,Grass,8,diglett,true,Diglett,Diglett,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/050.png,diglett,ground
Arena Trap,/us/pokedex/dugtrio,73.4,Grass,28,dugtrio,true,Dugtrio,Dugtrio,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/051.png,dugtrio,ground
Pickup,/us/pokedex/meowth,9.3,Fighting,16,meowth,true,Meowth,Meowth,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/052.png,meowth,normal
Limber,/us/pokedex/persian,70.5,Fighting,39,persian,true,Persian,Persian,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/053.png,persian,normal
Cloud Nine,/us/pokedex/psyduck,43.2,Electric,31,psyduck,true,Psyduck,Psyduck,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/054.png,psyduck,water
Cloud Nine,/us/pokedex/golduck,168.9,Electric,67,golduck,true,Golduck,Golduck,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/055.png,golduck,water
Anger Point,/us/pokedex/mankey,61.7,Flying,20,mankey,true,Mankey,Mankey,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/056.png,mankey,fighting
Anger Point,/us/pokedex/primeape,70.5,Flying,39,primeape,true,Primeape,Primeape,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/057.png,primeape,fighting
Flash Fire,/us/pokedex/growlithe,41.9,Ground,28,growlithe,true,Growlithe,Growlithe,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/058.png,growlithe,fire
Flash Fire,/us/pokedex/arcanine,341.7,Ground,75,arcanine,true,Arcanine,Arcanine,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/059.png,arcanine,fire
Damp,/us/pokedex/poliwag,27.3,Electric,24,poliwag,true,Poliwag,Poliwag,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/060.png,poliwag,water
Damp,/us/pokedex/poliwhirl,44.1,Electric,39,poliwhirl,true,Poliwhirl,Poliwhirl,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/061.png,poliwhirl,water
Damp,/us/pokedex/poliwrath,119,Electric,51,poliwrath,true,Poliwrath,Poliwrath,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/062.png,poliwrath,water
Inner Focus,/us/pokedex/abra,43,Bug,35,abra,true,Abra,Abra,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/063.png,abra,psychic
Inner Focus,/us/pokedex/kadabra,124.6,Bug,51,kadabra,true,Kadabra,Kadabra,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/064.png,kadabra,psychic
Trace,/us/pokedex/alakazam,105.8,Ghost,47,alakazam,true,Alakazam,Alakazam,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/065.png,alakazam,psychic
Inner Focus,/us/pokedex/alakazam,105.8,Bug,59,alakazam,true,Alakazam,Alakazam,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/065.png,alakazam,psychic
Guts,/us/pokedex/machop,43,Flying,31,machop,true,Machop,Machop,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/066.png,machop,fighting
Guts,/us/pokedex/machoke,155.4,Flying,59,machoke,true,Machoke,Machoke,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/067.png,machoke,fighting
Guts,/us/pokedex/machamp,286.6,Flying,63,machamp,true,Machamp,Machamp,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/068.png,machamp,fighting
Chlorophyll,/us/pokedex/bellsprout,8.8,Fire,28,bellsprout,true,Bellsprout,Bellsprout,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/069.png,bellsprout,grass
Chlorophyll,/us/pokedex/weepinbell,14.1,Fire,39,weepinbell,true,Weepinbell,Weepinbell,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/070.png,weepinbell,grass
Chlorophyll,/us/pokedex/victreebel,34.2,Fire,67,victreebel,true,Victreebel,Victreebel,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/071.png,victreebel,grass
Clear Body,/us/pokedex/tentacool,100.3,Electric,35,tentacool,true,Tentacool,Tentacool,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/072.png,tentacool,water
Clear Body,/us/pokedex/tentacruel,121.3,Electric,63,tentacruel,true,Tentacruel,Tentacruel,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/073.png,tentacruel,water
Rock Head,/us/pokedex/geodude,44.1,Grass,16,geodude,true,Geodude,Geodude,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/074.png,geodude,rock
Rock Head,/us/pokedex/graveler,231.5,Grass,39,graveler,true,Graveler,Graveler,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/075.png,graveler,rock
Rock Head,/us/pokedex/golem,661.4,Grass,55,golem,true,Golem,Golem,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/076.png,golem,rock
Flash Fire,/us/pokedex/ponyta,66.1,Ground,39,ponyta,true,Ponyta,Ponyta,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/077.png,ponyta,fire
Flash Fire,/us/pokedex/rapidash,209.4,Ground,67,rapidash,true,Rapidash,Rapidash,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/078.png,rapidash,fire
Oblivious,/us/pokedex/slowpoke,79.4,Bug,47,slowpoke,true,Slowpoke,Slowpoke,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/079.png,slowpoke,water
Shell Armor,/us/pokedex/slowbro,264.6,Ghost,79,slowbro,true,Slowbro,Slowbro,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/080.png,slowbro,water
Oblivious,/us/pokedex/slowbro,173.1,Bug,63,slowbro,true,Slowbro,Slowbro,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/080.png,slowbro,water
Magnet Pull,/us/pokedex/magnemite,13.2,Ground,12,magnemite,true,Magnemite,Magnemite,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/081.png,magnemite,electric
Magnet Pull,/us/pokedex/magneton,132.3,Ground,39,magneton,true,Magneton,Magneton,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/082.png,magneton,electric
Inner Focus,/us/pokedex/farfetchd,33.1,Electric,31,farfetchd,true,Farfetch'd,Farfetch'd,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/083.png,farfetchd,normal
Early Bird,/us/pokedex/doduo,86.4,Electric,55,doduo,true,Doduo,Doduo,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/084.png,doduo,normal
Early Bird,/us/pokedex/dodrio,187.8,Electric,71,dodrio,true,Dodrio,Dodrio,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/085.png,dodrio,normal
Hydration,/us/pokedex/seel,198.4,Electric,43,seel,true,Seel,Seel,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/086.png,seel,water
Hydration,/us/pokedex/dewgong,264.6,Electric,67,dewgong,true,Dewgong,Dewgong,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/087.png,dewgong,water
Stench,/us/pokedex/grimer,66.1,Ground,35,grimer,true,Grimer,Grimer,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/088.png,grimer,poison
Stench,/us/pokedex/muk,66.1,Ground,47,muk,true,Muk,Muk,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/089.png,muk,poison
Shell Armor,/us/pokedex/shellder,8.8,Electric,12,shellder,true,Shellder,Shellder,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/090.png,shellder,water
Shell Armor,/us/pokedex/cloyster,292.1,Electric,59,cloyster,true,Cloyster,Cloyster,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/091.png,cloyster,water
Levitate,/us/pokedex/gastly,0.2,Dark,51,gastly,true,Gastly,Gastly,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/092.png,gastly,ghost
Levitate,/us/pokedex/haunter,0.2,Dark,63,haunter,true,Haunter,Haunter,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/093.png,haunter,ghost
Shadow Tag,/us/pokedex/gengar,89.3,Ghost,55,gengar,true,Gengar,Gengar,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/094.png,gengar,ghost
Levitate,/us/pokedex/gengar,89.3,Dark,59,gengar,true,Gengar,Gengar,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/094.png,gengar,ghost
Rock Head,/us/pokedex/onix,463,Grass,346,onix,true,Onix,Onix,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/095.png,onix,rock
Forewarn,/us/pokedex/drowzee,71.4,Bug,39,drowzee,true,Drowzee,Drowzee,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/096.png,drowzee,psychic
Forewarn,/us/pokedex/hypno,166.7,Bug,63,hypno,true,Hypno,Hypno,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/097.png,hypno,psychic
Hyper Cutter,/us/pokedex/krabby,14.3,Electric,16,krabby,true,Krabby,Krabby,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/098.png,krabby,water
Hyper Cutter,/us/pokedex/kingler,132.3,Electric,51,kingler,true,Kingler,Kingler,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/099.png,kingler,water
Soundproof,/us/pokedex/voltorb,22.9,Ground,20,voltorb,true,Voltorb,Voltorb,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/100.png,voltorb,electric
Soundproof,/us/pokedex/electrode,146.8,Ground,47,electrode,true,Electrode,Electrode,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/101.png,electrode,electric
Chlorophyll,/us/pokedex/exeggcute,5.5,Bug,16,exeggcute,true,Exeggcute,Exeggcute,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/102.png,exeggcute,grass
Chlorophyll,/us/pokedex/exeggutor,264.6,Bug,79,exeggutor,true,Exeggutor,Exeggutor,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/103.png,exeggutor,grass
Lightning Rod,/us/pokedex/cubone,14.3,Grass,16,cubone,true,Cubone,Cubone,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/104.png,cubone,ground
Lightning Rod,/us/pokedex/marowak,99.2,Grass,39,marowak,true,Marowak,Marowak,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/105.png,marowak,ground
Limber,/us/pokedex/hitmonlee,109.8,Flying,59,hitmonlee,true,Hitmonlee,Hitmonlee,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/106.png,hitmonlee,fighting
Iron Fist,/us/pokedex/hitmonchan,110.7,Flying,55,hitmonchan,true,Hitmonchan,Hitmonchan,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/107.png,hitmonchan,fighting
Oblivious,/us/pokedex/lickitung,144.4,Fighting,47,lickitung,true,Lickitung,Lickitung,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/108.png,lickitung,normal
Levitate,/us/pokedex/koffing,2.2,Psychic,24,koffing,true,Koffing,Koffing,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/109.png,koffing,poison
Levitate,/us/pokedex/weezing,20.9,Psychic,47,weezing,true,Weezing,Weezing,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/110.png,weezing,poison
Lightning Rod,/us/pokedex/rhyhorn,253.5,Grass,39,rhyhorn,true,Rhyhorn,Rhyhorn,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/111.png,rhyhorn,ground
Lightning Rod,/us/pokedex/rhydon,264.6,Grass,75,rhydon,true,Rhydon,Rhydon,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/112.png,rhydon,ground
Natural Cure,/us/pokedex/chansey,76.3,Fighting,43,chansey,true,Chansey,Chansey,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/113.png,chansey,normal
Chlorophyll,/us/pokedex/tangela,77.2,Bug,39,tangela,true,Tangela,Tangela,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/114.png,tangela,grass
Parental Bond,/us/pokedex/kangaskhan,220.5,Fighting,87,kangaskhan,true,Kangaskhan,Kangaskhan,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/115.png,kangaskhan,normal
Early Bird,/us/pokedex/kangaskhan,176.4,Fighting,87,kangaskhan,true,Kangaskhan,Kangaskhan,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/115.png,kangaskhan,normal
Sniper,/us/pokedex/horsea,17.6,Electric,16,horsea,true,Horsea,Horsea,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/116.png,horsea,water
Poison Point,/us/pokedex/seadra,55.1,Electric,47,seadra,true,Seadra,Seadra,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/117.png,seadra,water
Swift Swim,/us/pokedex/goldeen,33.1,Electric,24,goldeen,true,Goldeen,Goldeen,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/118.png,goldeen,water
Swift Swim,/us/pokedex/seaking,86,Electric,51,seaking,true,Seaking,Seaking,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/119.png,seaking,water
Illuminate,/us/pokedex/staryu,76.1,Electric,31,staryu,true,Staryu,Staryu,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/120.png,staryu,water
Illuminate,/us/pokedex/starmie,176.4,Bug,43,starmie,true,Starmie,Starmie,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/121.png,starmie,water
Filter,/us/pokedex/mr-mime,120.1,Ghost,51,mr-mime,true,Mr. Mime,Mr. Mime,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/122.png,mr-mime,psychic
Swarm,/us/pokedex/scyther,123.5,Rock,59,scyther,true,Scyther,Scyther,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/123.png,scyther,bug
Forewarn,/us/pokedex/jynx,89.5,Bug,55,jynx,true,Jynx,Jynx,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/124.png,jynx,ice
Static,/us/pokedex/electabuzz,66.1,Ground,43,electabuzz,true,Electabuzz,Electabuzz,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/125.png,electabuzz,electric
Flame Body,/us/pokedex/magmar,98.1,Ground,51,magmar,true,Magmar,Magmar,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/126.png,magmar,fire
Aerilate,/us/pokedex/pinsir,130.1,Fire,67,pinsir,true,Pinsir,Pinsir,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/127.png,pinsir,bug
Hyper Cutter,/us/pokedex/pinsir,121.3,Fire,59,pinsir,true,Pinsir,Pinsir,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/127.png,pinsir,bug
Anger Point,/us/pokedex/tauros,194.9,Fighting,55,tauros,true,Tauros,Tauros,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/128.png,tauros,normal
Swift Swim,/us/pokedex/magikarp,22,Electric,35,magikarp,true,Magikarp,Magikarp,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/129.png,magikarp,water
Mold Breaker,/us/pokedex/gyarados,672.4,Fairy,256,gyarados,true,Gyarados,Gyarados,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/130.png,gyarados,water
Intimidate,/us/pokedex/gyarados,518.1,Electric,256,gyarados,true,Gyarados,Gyarados,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/130.png,gyarados,water
Shell Armor,/us/pokedex/lapras,485,Electric,98,lapras,true,Lapras,Lapras,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/131.png,lapras,water
Limber,/us/pokedex/ditto,8.8,Fighting,12,ditto,true,Ditto,Ditto,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/132.png,ditto,normal
Adaptability,/us/pokedex/eevee,14.3,Fighting,12,eevee,true,Eevee,Eevee,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/133.png,eevee,normal
Water Absorb,/us/pokedex/vaporeon,63.9,Electric,39,vaporeon,true,Vaporeon,Vaporeon,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/134.png,vaporeon,water
Volt Absorb,/us/pokedex/jolteon,54,Ground,31,jolteon,true,Jolteon,Jolteon,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/135.png,jolteon,electric
Flash Fire,/us/pokedex/flareon,55.1,Ground,35,flareon,true,Flareon,Flareon,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/136.png,flareon,fire
Download,/us/pokedex/porygon,80.5,Fighting,31,porygon,true,Porygon,Porygon,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/137.png,porygon,normal
Shell Armor,/us/pokedex/omanyte,16.5,Grass,16,omanyte,true,Omanyte,Omanyte,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/138.png,omanyte,rock
Shell Armor,/us/pokedex/omastar,77.2,Grass,39,omastar,true,Omastar,Omastar,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/139.png,omastar,rock
Battle Armor,/us/pokedex/kabuto,25.4,Grass,20,kabuto,true,Kabuto,Kabuto,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/140.png,kabuto,rock
Battle Armor,/us/pokedex/kabutops,89.3,Grass,51,kabutops,true,Kabutops,Kabutops,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/141.png,kabutops,rock
Tough Claws,/us/pokedex/aerodactyl,174.2,Steel,83,aerodactyl,true,Aerodactyl,Aerodactyl,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/142.png,aerodactyl,rock
Pressure,/us/pokedex/aerodactyl,130.1,Electric,71,aerodactyl,true,Aerodactyl,Aerodactyl,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/142.png,aerodactyl,rock
Immunity,/us/pokedex/snorlax,1014.1,Fighting,83,snorlax,true,Snorlax,Snorlax,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/143.png,snorlax,normal
Pressure,/us/pokedex/articuno,122.1,Rock,67,articuno,true,Articuno,Articuno,http://assets.pokemon.com/assets/cms2/img/pokedex/detail/144.png,articuno,ice
